time_s,vx_mps,vy_mps,dpsi_radps,ax_mps2,ay_mps2,deltawheel_rad,TwheelRL_Nm,TwheelRR_Nm,pBrakeF_bar,pBrakeR_bar,beta_true_rad,yaw_acc_rps2,fyf_true_n,fyr_true_n
0.0,16.666666666666668,-0.0,0.0,0.0010081682241324223,1.2940107239157769e-17,0.0,0.0,0.0,0.0,0.0,-0.0,2.869163304912862e-17,1.1550636707740009e-14,9.80054023687031e-15
0.025,16.663378609551323,-2.864162559244709e-19,5.199820555237514e-18,-0.07042034495960582,3.251133944060267e-16,0.0,0.0,0.0,0.0,0.0,-1.7188366335282045e-20,1.7290695310538844e-16,2.9020367746570743e-13,2.462334233042366e-13
0.05,16.659573449028862,-1.7652960254622886e-18,1.0373421624776756e-17,-0.09733812274354876,2.671181049826031e-16,0.0,0.0,0.0,0.0,0.0,-1.0596285858478526e-19,-9.954574294588401e-15,2.3843575108693013e-13,2.0230912213436494e-13
0.075,16.655060450236004,-7.445843306656841e-18,6.803251780879973e-19,-0.13219303015506628,-2.3998764100553685e-16,0.0,0.0,0.0,0.0,0.0,-4.470619202436658e-19,-1.0242047959524091e-14,-2.142184762746145e-13,-1.8176113138452133e-13
0.1,16.649708218044704,-2.2299068778755522e-17,-1.880979824274104e-17,-0.17117247610381156,-9.383669972088271e-16,0.0,0.0,0.0,0.0,0.0,-1.3393068807408963e-18,-6.22688224361e-16,-8.376079180003384e-13,-7.106976273942265e-13
0.125,16.643462710910374,-2.9761772783564893e-17,-2.0102468689628054e-17,-0.2110084210020123,2.1198295366186492e-16,0.0,0.0,0.0,0.0,0.0,-1.7881959602105522e-18,-5.04467454747891e-15,1.892208496211237e-13,1.605510239209534e-13
0.15,16.63633876376682,-4.687586117314748e-18,-1.809875557938417e-17,-0.2487936123934659,1.5306977996299942e-16,0.0,0.0,0.0,0.0,0.0,-2.8176789279646643e-19,5.249151689077887e-15,1.3663359867189047e-13,1.1593153826705855e-13
0.175,16.628411610921223,1.1309531339816042e-17,7.929577437484509e-18,-0.282119140625,5.198866056151809e-16,0.0,0.0,0.0,0.0,0.0,6.801329919201759e-19,5.177366917347506e-15,4.64062715995846e-13,3.9375018326920257e-13
0.1999999999999999,16.619802051120335,8.759379465793533e-18,1.6518205768221868e-17,-0.30917071718158146,2.455152774341559e-16,0.0,0.0,0.0,0.0,0.0,5.270447529309212e-19,2.112910319687153e-16,2.1915257141458672e-13,1.8594763635177052e-13
0.2249999999999999,16.61066903008355,1.4834987977771021e-18,4.245206843601438e-17,-0.32876819957386366,3.025690281944688e-16,0.0,0.0,0.0,0.0,0.0,8.930999679123944e-20,-1.91634258646118e-14,2.700800587735873e-13,2.2915883774728615e-13
0.2499999999999999,16.601185268825954,-1.150628107373202e-18,2.944604856765481e-17,-0.34035448478929925,1.4641323423501982e-16,0.0,0.0,0.0,0.0,0.0,-6.930999737313184e-20,5.087151555717819e-15,1.3069181318191523e-13,1.1089002330586745e-13
0.2749999999999999,16.591533025105793,-1.4699323923685338e-17,3.2502327533302304e-17,-0.3439422977331913,-1.5043985628330376e-15,0.0,0.0,0.0,0.0,0.0,-8.859533294146343e-19,-1.0237019971949188e-14,-1.3428606843648998e-12,-1.139396944309612e-12
0.3,16.58188819885254,-6.00001082143504e-17,5.331231209427572e-18,-0.34002827962239585,-1.1829453241852945e-15,0.0,0.0,0.0,0.0,0.0,-3.61841229990336e-18,1.4737253504668556e-14,-1.0559241459326113e-12,-8.959356389731246e-13
0.325,16.57241079542372,-9.031654971493144e-17,2.5392077839914413e-18,-0.32948817397608904,-5.437714411704381e-16,0.0,0.0,0.0,0.0,0.0,-5.4498135986269006e-18,5.375528369533518e-16,-4.853828683890223e-13,-4.118400095422007e-13
0.35,16.56323750813802,-1.1337514676120796e-16,8.92335480231341e-18,-0.31346162738222066,-1.021116497944852e-15,0.0,0.0,0.0,0.0,0.0,-6.8449870809075416e-18,-1.7621373002679983e-16,-9.114720215261834e-13,-7.733702000828222e-13
0.375,16.554477479722763,-9.866324325858484e-17,1.3331832805082352e-17,-0.2932347060694839,2.1114569858502106e-15,0.0,0.0,0.0,0.0,0.0,-5.9599128622111694e-18,1.6991012530899409e-18,1.8847349652384257e-12,1.5991690614144216e-12
0.4000000000000001,16.54621018303765,-6.185061050630503e-17,3.67380666450768e-18,-0.2701363118489583,2.0421865626023267e-15,0.0,0.0,0.0,0.0,0.0,-3.738052993531485e-18,7.458253214307388e-16,1.8229025956343723e-12,1.546705232659467e-12
0.4250000000000001,16.53848648071289,-3.1095009627623887e-17,3.145084641822396e-17,-0.2454403594045928,-1.8398797774945663e-16,0.0,0.0,0.0,0.0,0.0,-1.880160537295039e-18,-2.0384259533687103e-14,-1.6423189161406416e-13,-1.3934827167253926e-13
0.4500000000000001,16.53132650587294,-6.177543633223621e-17,-1.8470355830262e-17,-0.22029313520951704,-1.2738708934936246e-16,0.0,0.0,0.0,0.0,0.0,-3.736871104099831e-18,-7.440855686966375e-16,-1.1370863959135715e-13,-9.64800578350909e-14
0.4750000000000001,16.524732377794052,-4.3463495749451184e-17,-2.735929091656484e-17,-0.19565970680930397,-1.4719241851971007e-16,0.0,0.0,0.0,0.0,0.0,-2.630208753508012e-18,-5.183260360836265e-16,-1.3138733095734776e-13,-1.1148015960017383e-13
0.5000000000000001,16.518680784437393,-1.4871516273621358e-17,-4.09305122366808e-17,-0.17229395086115057,5.085413192647147e-16,0.0,0.0,0.0,0.0,0.0,-9.002847423283424e-19,-1.022900449916932e-14,4.539356530157987e-13,3.8515752377098064e-13
0.5250000000000001,16.513138877020943,-1.6936477087544766e-17,-5.9884640076736e-17,-0.15073073416045218,-1.497581040809538e-15,0.0,0.0,0.0,0.0,0.0,-1.025636447054468e-18,9.64321684163898e-15,-1.3367752077390056e-12,-1.1342335095967319e-12
0.5500000000000002,16.508058971828884,5.0122908117798076e-18,-4.206132907858004e-17,-0.13129798657966382,9.715561621261506e-16,0.0,0.0,0.0,0.0,0.0,3.036269024924927e-19,5.631516761028582e-15,8.672333283240804e-13,7.358343391840681e-13
0.5750000000000002,16.5033933851454,3.9629230530680486e-17,-5.3776391539714454e-17,-0.11414584997928504,2.1698986930697002e-16,0.0,0.0,0.0,0.0,0.0,2.4012777012484297e-18,9.811049643873842e-15,1.936901374387626e-13,1.6434314691773794e-13
0.6000000000000002,16.49909019470215,5.851909831112752e-17,-3.388082736544794e-17,-0.09928923173384233,3.4224260817912743e-16,0.0,0.0,0.0,0.0,0.0,3.546807588815896e-18,4.465722869349386e-16,3.054936068090736e-13,2.5920669668648665e-13
0.6250000000000002,16.495096418592667,-3.352011693399012e-06,-2.3959108469227822e-06,-0.0866618300929214,-0.0006839196415967,-4.076144898907412e-05,0.0,0.0,0.0,0.0,-2.0321261593965268e-07,-0.0004667031171265,-0.6104823686055789,-0.517985040028976
0.6500000000000002,16.491363313462998,-7.177028035382844e-05,-5.348475229906045e-05,-0.0761881718491063,-0.0065736772841773,-0.0002192032548859,0.0,0.0,0.0,0.0,-4.351991948127029e-06,-0.0043917833827435,-5.867815215138591,-4.9787523037539545
0.6750000000000003,16.487843195597332,-0.0003299562053547,-0.000264441623309,-0.06786419608376243,-0.0204117505811154,-0.0005768955677937,0.0,0.0,0.0,0.0,-2.0012090207335705e-05,-0.0136650931090116,-18.21999703511039,-15.459391423730025
0.7000000000000003,16.484485202365452,-0.0009533687261864,-0.000818115219624,-0.06187815926291726,-0.0486865425482392,-0.0012596441817441,0.0,0.0,0.0,0.0,-5.783430386103872e-05,-0.0324144288897514,-43.4587252746168,-36.874069929977885
0.7250000000000003,16.48122787475586,-0.0021510247865484,-0.0019744769948604,-0.05890658291903409,-0.0943905036896467,-0.0022829136362623,0.0,0.0,0.0,0.0,-0.0001305136245244873,-0.0622133500874042,-84.25512993280759,-71.48920115510947
0.7500000000000003,16.477997038099502,-0.0041256462120347,-0.0040490870261876,-0.05819927677963719,-0.1634208876639604,-0.0038021322803565,0.0,0.0,0.0,0.0,-0.00025037304003002375,-0.1059205457568168,-145.8732349721745,-123.77122967336015
0.7750000000000004,16.474794811672634,-0.0070144060171312,-0.0073715445929606,-0.05493219664602569,-0.2562415357679128,-0.0058146187477339,0.0,0.0,0.0,0.0,-0.0004257659107330059,-0.1621961891651153,-228.7270757797189,-194.07145823733723
0.8000000000000004,16.471664640638565,-0.0109257331738869,-0.0122885836463578,-0.04925440528176048,-0.3799457579851151,-0.008457025126439,0.0,0.0,0.0,0.0,-0.0006633047364825014,-0.2332902997732162,-339.1483036440905,-287.76219703134944
0.8250000000000004,16.46866692437066,-0.0158857243756453,-0.019130855141287,-0.03754094326134884,-0.5337950371205807,-0.0117530596619201,0.0,0.0,0.0,0.0,-0.0009646029304373927,-0.3162973523139953,-476.47770116746926,-404.28411008148896
0.8500000000000004,16.4659489525689,-0.0218468614750438,-0.0281880870775107,-0.016578015287717185,-0.7209707215428353,-0.0158569162604008,0.0,0.0,0.0,0.0,-0.0013267903075598571,-0.410205215215683,-643.5550129181538,-546.0466776275243
0.8750000000000004,16.463678148057724,-0.0286464496619171,-0.0396709261345787,0.014352564016977947,-0.9369212687015536,-0.0207459562320954,0.0,0.0,0.0,0.0,-0.0017399787219052637,-0.5089538097381592,-836.3174275540918,-709.6026658034717
0.9000000000000005,16.462012396918404,-0.0359085616138246,-0.0536117546868704,0.05448022784608783,-1.173667633533478,-0.0266085163007143,0.0,0.0,0.0,0.0,-0.0021812984189312407,-0.604854166507721,-1047.6426663261948,-888.9089290040439
0.9250000000000004,16.46106931898329,-0.0429951647917429,-0.0697749994912117,0.10195346716678504,-1.4156645566225052,-0.0333077552391602,0.0,0.0,0.0,0.0,-0.002611930243326287,-0.6833930015563965,-1263.6546739032035,-1072.19184452393
0.9500000000000004,16.46092414855957,-0.0489711554514037,-0.0874696784356463,0.15407334761186078,-1.6415042757987977,-0.0409114848269864,0.0,0.0,0.0,0.0,-0.002974994296154932,-0.7247377634048462,-1465.2443904466318,-1243.2376646213843
0.9750000000000004,16.46160231696235,-0.0528042556511031,-0.10562484706088,0.20807820175633285,-1.8348435431718828,-0.0494258459391597,0.0,0.0,0.0,0.0,-0.0032077227134015133,-0.7202762365341187,-1637.8234577985088,-1389.668388435098
1.0000000000000004,16.463083691067165,-0.0536572767628563,-0.1230819595525118,0.26052451393821024,-1.9935673862695693,-0.0591860775017587,0.0,0.0,0.0,0.0,-0.0032592482532279557,-0.6691716909408569,-1779.5040029898043,-1509.8821843549852
1.0250000000000004,16.465282440185547,-0.0511692009038395,-0.1388354811843337,0.3102586179791075,-2.116671547293663,-0.0703664792469399,0.0,0.0,0.0,0.0,-0.003107702591177833,-0.5863673090934753,-1889.389602461311,-1603.118450573233
1.0500000000000005,16.468080944485134,-0.0454270011848873,-0.1522220934302123,0.35430697354403407,-2.2136263072490694,-0.0832447481361821,0.0,0.0,0.0,0.0,-0.0027584878491928953,-0.4843417406082153,-1975.9336463887187,-1676.549760572246
1.0750000000000002,16.47130012512207,-0.0368161044187015,-0.1629837775924112,0.39325515284682766,-2.289438059926033,-0.0978818435107183,0.0,0.0,0.0,0.0,-0.0022351668744442026,-0.3767732977867126,-2043.604956770041,-1733.9678421079134
1.1,16.474816004435223,-0.0259944920738538,-0.1712044898242951,0.42815993800307767,-2.352159851789475,-0.1143439823743397,0.0,0.0,0.0,0.0,-0.001577832011407943,-0.2818840146064758,-2099.591867703884,-1781.4718877487496
