#vx_mps,vy_mps,dpsi_radps,ax_mps2,ay_mps2,deltawheel_rad,TwheelRL_Nm,TwheelRR_Nm,pBrakeF_bar,pBrakeR_bar
3.04564627872267,0.000102063945510312,0.00154679315164685,4.23856925964355,0.175041317939758,0.00959931127727032,1018.75,1062.5,0,0
3.07899263055162,-0.000118486764335363,0.00298441271297634,4.07799053192139,0.11042357981205,0.00959931127727032,943.75,1000,0,0
3.11101247148014,0.000778462903190041,0.00125720270443708,3.91157555580139,0.142988741397858,0.00959931127727032,918.75,1006.25,0,0
3.14164096511348,8.08968147622199e-06,0.00421797018498182,3.73952198028564,0.0533036254346371,0.00959931127727032,918.75,1006.25,0,0
3.171657050061,-0.000279269255023081,0.00328209134750068,3.63016581535339,0.0277898944914341,0.00872664619237185,962.5,987.5,0,0
3.2011434616339,-0.00141088988798511,0.00153881893493235,3.55302238464355,-0.0429960265755653,0.00872664619237185,968.75,1012.5,0,0
3.23151391324729,-0.00273582085836324,0.00268792128190398,3.59161782264709,-0.083355076611042,0.00802851468324661,937.5,950,0,0
3.26302083667784,-0.00447887676595452,0.00468509783968329,3.69682955741882,-0.125090599060059,0.00715585006400943,906.25,981.25,0,0
3.29603721688856,-0.00648675772615162,0.00495020160451531,3.84353685379028,-0.171157047152519,0.00645771808922291,906.25,981.25,0,0
3.32920482375711,-0.00925336049906615,0.00632792199030519,3.92481017112732,-0.248768597841263,0.00558505346998572,1000,981.25,0,0
3.36384821080782,-0.0128280390216984,0.00398269109427929,4.06212949752808,-0.334084570407867,0.00488692196086049,912.5,962.5,0,0
3.39728820990986,-0.0157321722214867,0.00442119175568223,4.02494049072266,-0.322403460741043,0.00488692196086049,931.25,968.75,0,0
3.42963325704648,-0.0188318672526587,0.00274477992206812,3.93391418457031,-0.329158246517181,0.00558505346998572,1006.25,962.5,0,0
3.46105829167016,-0.0195421100855551,0.00245305872522295,3.82649350166321,-0.171750590205193,0.00558505346998572,1006.25,962.5,0,0
3.49158298281851,-0.0193483247203187,0.000139687501359731,3.71620488166809,-0.0580856092274189,0.00558505346998572,1031.25,975,0,0
3.52389096167403,-0.0179050937894772,-0.00169361173175275,3.79967832565308,0.0776738226413727,0.00645771808922291,950,993.75,0,0
3.55681448655665,-0.0155560520944212,-0.00146829499863088,3.88060522079468,0.198260098695755,0.00715585006400943,1012.5,1031.25,0,0
3.59120857621753,-0.0125529208984719,-0.00356809352524579,4.01640033721924,0.288096278905869,0.00802851468324661,937.5,1000,0,0
3.62662036282109,-0.0102405205182619,-0.000780012807808816,4.1402382850647,0.29477396607399,0.00872664619237185,937.5,1000,0,0
3.66205030996831,-0.00716917527060463,0.0014362873043865,4.18893957138062,0.360534369945526,0.00959931127727032,1006.25,968.75,0,0
3.69721895846158,-0.00439169990606851,0.00186734565068036,4.2103476524353,0.363345474004745,0.00959931127727032,987.5,993.75,0,0
3.73191846682409,-0.00238749011773534,0.00320651801303029,4.18810081481934,0.304837435483932,0.00959931127727032,968.75,1050,0,0
3.76492645486127,-0.00187829228534789,0.00496442150324583,4.057204246521,0.187824159860611,0.00959931127727032,1031.25,1025,0,0
3.79656455852541,-0.00127443047163215,0.00829892978072166,3.9094614982605,0.141278237104416,0.0104719754308462,1031.25,1025,0,0
3.82795110320117,-0.00328744401775773,0.00793271232396364,3.82272505760193,-0.0728392824530602,0.00872664619237185,993.75,962.5,0,0
3.85854798917821,-0.00487705462298037,0.0102052520960569,3.73321771621704,-0.119241297245026,0.00872664619237185,956.25,968.75,0,0
3.89103358507992,-0.00688538794985912,0.00877380557358265,3.81598544120789,-0.189957424998283,0.00802851468324661,1018.75,968.75,0,0
3.92399076979434,-0.0101279388797719,0.00889936927706003,3.88723731040955,-0.291611522436142,0.00715585006400943,1056.25,962.5,0,0
3.95864325495172,-0.0126404921808228,0.0109764719381928,4.02811002731323,-0.278967022895813,0.00558505346998572,1056.25,962.5,0,0
3.99354924969468,-0.014736097886059,0.00840112194418907,4.11545419692993,-0.245889708399773,0.00488692196086049,1043.75,1000,0,0
4.02826533275787,-0.0149771035917134,0.00694610178470612,4.14654779434204,-0.118557900190353,0.00488692196086049,1006.25,1050,0,0
4.06304030826826,-0.016051228245493,0.00488769495859742,4.16684484481812,-0.111882969737053,0.00488692196086049,956.25,968.75,0,0
4.09660788041323,-0.0146748286088754,0.00401317980140448,4.09235191345215,0.0609229989349842,0.00401425734162331,1050,1031.25,0,0
4.12976702210306,-0.0136821837681126,0.00432297633960843,4.02005052566528,0.125262439250946,0.00488692196086049,1050,1031.25,0,0
4.16286437175992,-0.0119305230318217,0.00246139895170927,3.98304438591003,0.204312399029732,0.00558505346998572,1056.25,1075,0,0
4.19691743560201,-0.00995457918651661,-0.00236894516274333,4.03025150299072,0.247891306877136,0.00558505346998572,1050,1018.75,0,0
4.23200983503884,-0.00754027768597733,-0.00524238729849458,4.13638257980347,0.291709840297699,0.00715585006400943,1043.75,968.75,0,0
4.26843323408263,-0.00510661654859724,-0.00450579589232802,4.27015352249146,0.297465592622757,0.00802851468324661,987.5,1050,0,0
4.30619408528841,-0.00348612590079332,-0.00319668767042458,4.41797256469727,0.253539055585861,0.00802851468324661,987.5,1050,0,0
4.34352079725285,-0.00230430193567824,-0.00275946711190045,4.43601417541504,0.183157607913017,0.00802851468324661,968.75,1056.25,0,0
4.38095916711059,-0.0017902582795144,-0.00213231891393661,4.45071601867676,0.108927734196186,0.00802851468324661,1018.75,1062.5,0,0
4.41655355059017,-0.00173661307120505,-0.00214386079460382,4.32901573181152,0.0298952423036098,0.00872664619237185,1050,1056.25,0,0
4.4503262272909,-0.00183630170583663,0.00175432313699275,4.14010381698608,0.00287282862700522,0.00802851468324661,1031.25,1037.5,0,0
4.482981736849,-0.00238050927334785,0.00513458484783769,3.98439288139343,-0.0394558273255825,0.00715585006400943,1031.25,1037.5,0,0
4.51499244080354,-0.00314951030735402,0.00736283836886287,3.87180495262146,-0.0719399526715279,0.00645771808922291,1037.5,1037.5,0,0
4.54508572004326,-0.00491562975110938,0.00820624548941851,3.68756604194641,-0.164384722709656,0.00558505346998572,962.5,1018.75,0,0
4.5757515124532,-0.00726466603195364,0.00789428502321243,3.65029811859131,-0.237858816981316,0.00558505346998572,1006.25,962.5,0,0
4.60717160364776,-0.00892343884450229,0.00760226929560304,3.69104480743408,-0.209996566176414,0.00488692196086049,968.75,1037.5,0,0
4.63965288244698,-0.0110732601800336,0.0076289284043014,3.78143787384033,-0.233120769262314,0.00488692196086049,968.75,1037.5,0,0
4.67357026560994,-0.0127719070724251,0.00805139262229204,3.93431687355042,-0.180314347147942,0.00488692196086049,1031.25,962.5,0,0
4.70736457757854,-0.0139048258862136,0.00799631886184216,3.9930214881897,-0.145782694220543,0.00488692196086049,962.5,1062.5,0,0
4.74238460029971,-0.0152383020487095,0.00632079504430294,4.09792995452881,-0.130285799503326,0.00488692196086049,1050,1006.25,0,0
4.77710412346977,-0.0156000155526745,0.00195564446039498,4.13974142074585,-0.084606409072876,0.00401425734162331,968.75,987.5,0,0
4.81186007014132,-0.0166712470749254,0.00271496432833374,4.12466239929199,-0.0754498317837715,0.00488692196086049,968.75,987.5,0,0
4.84648651015078,-0.0159969340635785,-0.00223177042789757,4.11920642852783,0.0301378350704908,0.00401425734162331,1056.25,1062.5,0,0
4.88096475443054,-0.0154300381380887,-0.00347195053473115,4.09224510192871,0.0783992409706116,0.00488692196086049,1050,1012.5,0,0
4.9149466167001,-0.0128905971352156,-0.00549285020679235,4.07255125045776,0.224882692098618,0.00558505346998572,1037.5,1012.5,0,0
4.94851968647667,-0.0110422445343232,-0.00680626090615988,4.02262306213379,0.221714034676552,0.00645771808922291,968.75,1050,0,0
4.98548427222144,-0.00757397901302638,-0.00631374912336469,4.2629714012146,0.353404760360718,0.00645771808922291,968.75,1050,0,0
5.02191758923656,-0.00551468500232483,-0.00355079397559166,4.2925853729248,0.318781465291977,0.00715585006400943,981.25,1056.25,0,0
5.05893379945972,-0.00355024407811078,-0.00566234346479177,4.35424852371216,0.288313359022141,0.00802851468324661,987.5,1056.25,0,0
5.0974251095979,-0.00242521535930248,-0.00125218357425183,4.48798227310181,0.270942956209183,0.00802851468324661,987.5,975,0,0
5.13386099552763,-0.0030373956270249,-0.00127714755944908,4.37475538253784,0.117014221847057,0.00872664619237185,1031.25,1012.5,0,0
5.17067842385126,-0.00240251789605717,0.00205061654560268,4.37104940414429,0.210767403244972,0.00872664619237185,1031.25,1012.5,0,0
5.20655155507904,-0.00154662282540917,0.00171526032499969,4.27869510650635,0.229086458683014,0.00872664619237185,1056.25,1037.5,0,0
5.23916294704785,-0.003549765778644,0.00371709000319242,4.02764749526978,0.0721690729260445,0.00802851468324661,1075,1056.25,0,0
5.27246593318658,-0.0021518755579182,0.00706661259755492,3.99023199081421,0.191440671682358,0.00715585006400943,1012.5,1037.5,0,0
5.30615352690592,-0.00452721222376944,0.0122118545696139,3.96190929412842,-0.000994736677967012,0.00715585006400943,1031.25,987.5,0,0
5.34087910198423,-0.00481171260214304,0.0109343379735947,4.02633571624756,0.032397173345089,0.00715585006400943,1031.25,987.5,0,0
5.37435154893621,-0.00774753558285,0.0125561999157071,3.97866320610046,-0.148841708898544,0.00715585006400943,1075,1037.5,0,0
5.40981804551459,-0.00991568097192964,0.015407026745379,4.1100754737854,-0.14655265212059,0.00715585006400943,1050,1056.25,0,0
5.44486180708219,-0.0122753835258221,0.0153037467971444,4.14763116836548,-0.156082063913345,0.00715585006400943,987.5,1068.75,0,0
5.48013238385908,-0.0184128795073528,0.0143078286200762,4.16352987289429,-0.366091698408127,0.00645771808922291,993.75,1056.25,0,0
5.51521867756906,-0.022219971603604,0.0118225570768118,4.14469861984253,-0.316630214452744,0.00715585006400943,993.75,1056.25,0,0
5.54988863043727,-0.0274810229559233,0.0116686346009374,4.11313962936401,-0.399395883083344,0.00645771808922291,1018.75,1081.25,0,0
5.5849250130842,-0.0296546237632439,0.0101752961054444,4.09425783157349,-0.246427834033966,0.00715585006400943,1056.25,1018.75,0,0
5.61960341664654,-0.0291272205786786,0.00714897038415074,4.07125997543335,-0.0405763573944569,0.00715585006400943,1050,975,0,0
5.65371349031218,-0.0281086956950079,0.00366180180571973,4.03147602081299,0.0811403021216393,0.00715585006400943,968.75,1050,0,0
5.68697213713238,-0.0253432980391344,0.00412516621872783,3.97150230407715,0.225578024983406,0.00802851468324661,968.75,1050,0,0
5.72058337511183,-0.0230325455352499,0.00580950127914548,3.9716854095459,0.267675697803497,0.00872664619237185,1043.75,975,0,0
5.75463023745458,-0.0207910757572969,0.00333978049457073,4.02071285247803,0.266848385334015,0.0104719754308462,975,1000,0,0
5.78979783554597,-0.0194540557303957,0.00530128553509712,4.11495876312256,0.239131093025208,0.0104719754308462,1062.5,993.75,0,0
5.82499401234576,-0.0192282702542774,0.00655679404735565,4.1457052230835,0.175620704889297,0.0118682384490967,968.75,1037.5,0,0
5.85980866293924,-0.0183046731472903,0.00732040964066982,4.16691732406616,0.199722155928612,0.0111701069399714,968.75,1037.5,0,0
5.89526795998766,-0.0161862827853381,0.00846784561872482,4.21604013442993,0.263837724924088,0.0118682384490967,1043.75,987.5,0,0
5.93021858378684,-0.0140257055547406,0.0100509440526366,4.20764446258545,0.289555549621582,0.0127409035339952,968.75,1012.5,0,0
5.96529713696338,-0.0113399395704159,0.0139280362054706,4.21506023406982,0.379564315080643,0.0127409035339952,1043.75,1068.75,0,0
6.0004232438653,-0.0100891824508263,0.0154643021523952,4.22358846664429,0.298184454441071,0.0118682384490967,968.75,1031.25,0,0
