AY,Alphaf,Alphar,Beta,BetaR,Fxf,Fxr,Fyf,Fyr,Myf,Myr,Time,Vx,Vy,YawAcc,YawR,delta,phi,t,yaw,global_x_m,global_y_m
1.1877478660830683e-17,0.0,0.0,-0.0,-0.0,1.374053716659546,0.2894238531589508,0.0,0.0,0.0,0.0,0.0,25.0,-0.0,-2.4813099685936268e-19,0.0,0.0,0.0,1,0.0,0.0,0.0
0.03230800298042596,-0.06674277782440186,0.0002738833427429199,7.981510874663374e-06,0.0011212801544540666,-67.75234985351562,-59.531463623046875,59.42665100097656,-0.18141937255859375,0.0,0.0,0.025,24.994195302327473,0.00019949144593233036,0.021772287786006927,0.0001488394635071144,0.0011270406707201515,2.1727960294855503e-06,2,4.553554390440695e-05,0.6249274408416371,1.672019653595812e-05
0.17201258912682535,-0.21821165084838867,0.001433350145816803,8.328436512810318e-05,0.005134051832279113,-87.62598419189453,-80.12049865722656,317.00904083251953,-1.6017532348632812,1.485666275024414,-0.004535484313964844,0.05,24.987865024142796,0.0020810983712888425,0.11471844464540482,0.0017111224822307805,0.003951129576469814,3.452574848521386e-05,3,0.001098504289984703,1.2497029774517123,0.00040256999959273544
0.38933634236454967,-0.39486709982156754,0.0011577755212783813,0.00026770311789352236,0.00926253876972824,-112.75553512573242,-106.29964065551758,716.5527954101562,-2.5026321411132812,9.410892295837403,-0.04457931518554688,0.07500000000000001,24.980860816107857,0.006687454361882474,0.25745052099227905,0.006306386267253652,0.007590379972713568,0.00017129780800318137,4,0.006411128677427769,1.8743048801605,0.0028572212681124993
0.6303394854068757,-0.5555830001831055,-0.006332796066999435,0.0005243015822495249,0.010629907622510402,-140.18226623535156,-134.53705596923828,1150.4788208007812,5.914939880371094,27.32471218109131,-0.10714511871337891,0.1,24.973042805989582,0.013093406127558814,0.40714743733406067,0.014639053214056305,0.011316860923094958,0.0005017223519561744,5,0.020961960777640343,2.4986497113330417,0.011649444647871135
0.8564089119434357,-0.6796533763408661,-0.027789443731307983,0.0007645722228670827,0.007971223451865208,-167.31800842285156,-161.92543029785156,1534.4710998535156,37.130592346191406,56.086682701110846,0.04072837829589844,0.125,24.96435589260525,0.01908705673284001,0.5278750658035278,0.026412526369835935,0.01460997326345805,0.0010851517995313221,6,0.05000009387731552,3.122393271492391,0.034190687769885236
1.0620677515864374,-0.7865672409534454,-0.06769488472491503,0.0008928165631078207,0.0019903581734546536,-191.05577087402344,-186.37973022460938,1846.0569458007812,103.46910858154297,94.44846019744874,0.9689931869506837,0.15,24.954842461480034,0.02228010238872634,0.6066528558731079,0.04067914482782306,0.01760948275668724,0.0019300444667339767,7,0.09781514108181,3.7444630607269787,0.08076578492479788
1.2714298009872438,-0.8890956342220306,-0.12699364684522152,0.0008496220537878908,-0.0054036131487169205,-210.5562973022461,-206.08543395996094,2122.8078002929688,211.43754148483276,140.59988384246827,3.555720901489261,0.175,24.944595760769314,0.021193484879202314,0.6543366312980652,0.05649354881887761,0.02041255083000946,0.0030049895193355425,8,0.1672675758600235,4.362291872377127,0.163679973765366
1.501827597618103,-0.9976271986961365,-0.20372866466641426,0.0006182637701835536,-0.012885907792322052,-224.18267059326172,-219.92042541503906,2396.89453125,360.54183197021484,193.6700788497925,8.841659438610085,0.19999999999999998,24.93374294704861,0.015415632062488131,0.6828237771987915,0.07323489931684786,0.02315184971908919,0.004268723694936466,9,0.2600969672203064,4.970842594799815,0.29619378173430355
1.7654795140028001,-1.1215539872646332,-0.2949202284216881,0.0002083088714403102,-0.019631506539681317,-230.6076431274414,-227.81798553466797,2695.2891845703125,546.1650848388672,253.5924421310425,17.855205237865462,0.22499999999999998,24.92241753472222,0.005191560938126511,0.7037190198898315,0.09057572321500575,0.0260027439003703,0.005693747904724241,10,0.37736114859580994,5.561568864132803,0.49138338041390595
