AY,Alphaf,Alphar,Beta,BetaR,Fxf,Fxr,Fyf,Fyr,Myf,Myr,Time,Vx,Vy,YawAcc,YawR,delta,phi,t,yaw,global_x_m,global_y_m
1.2940107239157769e-17,0.0,0.0,-0.0,-0.0,1.374053716659546,0.2894238531589508,0.0,0.0,0.0,0.0,0.0,16.666666666666668,-0.0,2.869163304912862e-17,0.0,0.0,0.0,1,0.0,0.0,0.0
-2.4635209800956765e-17,0.0,0.0,1.5559359536584148e-21,1.5742101091612778e-18,-61.80851745605469,-54.38505172729492,0.0,0.0,0.0,0.0,0.025,16.663378609551323,2.5927148760842737e-20,-8.85432987394727e-18,-8.457025288749515e-20,0.0,1.1843400988547526e-20,2,-1.664018558757612e-20,0.4166255659527249,-3.1419320477267172e-21
-1.349693582125769e-16,0.0,0.0,-1.5143929805412372e-19,-3.295904275613426e-16,-84.0233154296875,-76.5857162475586,0.0,0.0,0.0,0.0,0.05,16.659573449028862,-2.522914195085492e-18,-2.5043241122644675e-16,-2.0877640561165067e-19,0.0,-4.1964421463691486e-21,3,4.344158189684551e-19,0.8331624666849773,5.2644486510040453e-20
6.671818129065292e-17,0.0,0.0,9.446601796860434e-20,3.761655921257136e-16,-112.84122467041016,-105.27848052978516,0.0,0.0,0.0,0.0,0.07500000000000001,16.655060450236004,1.5733372756997396e-18,1.0138681140838858e-14,-6.95720290476312e-18,0.0,-7.408973775629036e-20,4,-2.4359679082201677e-18,1.2495953904257882,-3.7590035651624213e-19
-2.566395841383398e-16,0.0,0.0,3.321880383095878e-19,-1.1718541021932135e-16,-145.14376831054688,-137.29283142089844,0.0,0.0,0.0,0.0,0.1,16.649708218044704,5.530833794177049e-18,-5.175752896066513e-15,-1.3689278534471543e-18,0.0,-9.781745065353943e-20,5,-1.947882956748047e-18,1.6659049987792969,-1.19963416363027e-18
-7.908803498834877e-16,0.0,0.0,1.544724737370878e-19,-4.546990102607935e-17,-178.24110412597656,-169.9252166748047,0.0,0.0,0.0,0.0,0.125,16.643462710910374,2.570956845062572e-18,-1.0392853705453245e-14,-5.589057538081683e-18,0.0,-4.0250619707363924e-19,6,-1.8793062098088283e-17,2.0820696353912354,-5.413528169716181e-18
-1.9719521470597203e-18,0.0,0.0,4.191912692129899e-19,8.385685797074876e-17,-209.71226501464844,-200.7993621826172,0.0,0.0,0.0,0.0,0.15,16.63633876376682,6.973807635110824e-18,5.074214821514404e-15,-2.1565567179508267e-17,0.0,-8.500261147441377e-19,7,-5.0804440606271896e-17,2.4980671538247003,-1.976898752475108e-17
4.987070035382214e-17,0.0,0.0,1.2897570552021167e-18,5.589217255468926e-16,-237.5288848876953,-227.96949768066406,0.0,0.0,0.0,0.0,0.175,16.628410551283096,2.1446609526682868e-17,5.848906919908451e-15,-6.254390038746157e-18,0.0,-3.4158478039622543e-19,8,-6.060262657253402e-17,2.913876520262824,-4.257529780727621e-17
3.079002634906547e-16,0.0,0.0,1.4562439058125404e-18,2.168574716785044e-16,-260.1483459472656,-249.98440551757812,0.0,0.0,0.0,0.0,0.19999999999999998,16.619802051120335,2.4202484895405592e-17,1.0351656563997638e-14,8.630878689215173e-18,0.0,9.687441406170712e-19,9,-4.861801365011458e-17,3.3294791777928667,-6.470152310347216e-17
-9.969427837881672e-17,0.0,0.0,5.859211238315416e-19,-9.452137585240422e-16,-276.5603332519531,-265.90740966796875,0.0,0.0,0.0,0.0,0.22499999999999998,16.610666910807293,9.73254091284992e-18,-5.206345185022497e-15,4.0438117742462295e-17,0.0,3.0733608538614237e-18,10,-8.838357016318871e-18,3.744860039816962,-7.621274487362447e-17
-8.270336576306351e-16,0.0,0.0,-1.385634840990755e-18,-8.428984491475208e-17,-286.2825622558594,-275.30169677734375,0.0,0.0,0.0,0.0,0.24999999999999997,16.601183149549698,-2.3003177783414626e-17,-4.417955240382368e-16,2.912629040380375e-17,0.0,6.0727325310655716e-18,11,3.4839093777834913e-17,4.1600081655714245,-7.098413818284021e-17
-1.5713897342399121e-15,0.0,0.0,-3.507722202663567e-18,-2.211636727129399e-16,-289.3176574707031,-278.1855773925781,0.0,0.0,0.0,0.0,0.27499999999999997,16.591531965467667,-5.819848310570196e-17,4.944536618388612e-15,1.1458417889614889e-17,0.0,1.0184928127916952e-17,12,6.928276213564498e-17,4.574917104509142,-5.0400692203958906e-17
-5.851574756054947e-16,0.0,0.0,-5.6567147509834425e-18,-6.181282791084159e-16,-286.0791931152344,-274.96502685546875,0.0,0.0,0.0,0.0,0.3,16.58188713921441,-9.379900215192935e-17,-1.580894669458901e-14,3.814773751607492e-17,0.0,1.4066295326211156e-17,13,1.006932716837864e-16,4.989584843317668,-1.7060765402576185e-17
-1.0684691773824111e-15,0.0,0.0,-7.65219205808494e-18,-1.6619859796242491e-16,-277.3009948730469,-266.3511657714844,0.0,0.0,0.0,0.0,0.325,16.57240973578559,-1.2681525823385169e-16,-6.605120571041671e-16,1.1508363067026885e-17,0.0,1.87015145479557e-17,14,1.294313327263364e-16,5.404013554255168,2.7864975659207106e-17
1.5667268853632152e-16,0.0,0.0,-7.68788777613059e-18,3.693354165632981e-17,-263.9383239746094,-253.26861572265625,0.0,0.0,0.0,0.0,0.35000000000000003,16.563235388861763,-1.2733630113987797e-16,7.936498207192311e-17,1.810523999812577e-17,0.0,2.5233558379273905e-17,15,1.4894014262793824e-16,5.81820911831326,8.233707766437086e-17
-7.672276483396369e-16,0.0,0.0,-9.010309582560248e-18,-6.554050569964543e-17,-247.06903076171875,-236.76332092285156,0.0,0.0,0.0,0.0,0.37500000000000006,16.554475360446506,-1.491609432355724e-16,9.695047634714418e-15,6.933024005954393e-18,0.0,3.432648747665842e-17,16,1.7336678611662914e-16,6.232180502679614,1.4559244748823682e-16
6.265663700039598e-16,0.0,0.0,-9.223793685533495e-18,-2.8458476952332336e-16,-227.80438232421875,-217.9149169921875,0.0,0.0,0.0,0.0,0.4000000000000001,16.546208063761394,-1.5261880818840698e-16,-1.134874986818751e-14,-1.3880911911067546e-17,0.0,3.834074737640138e-17,17,1.7336538321831025e-16,6.645939045482213,2.1355189923132998e-16
1.4256899902670782e-15,0.0,0.0,-7.214312232997813e-18,3.680824694179983e-16,-207.2096710205078,-197.76072692871094,0.0,0.0,0.0,0.0,0.4250000000000001,16.538483301798504,-1.1931378151646323e-16,5.245263701970872e-16,-3.78906115563872e-17,0.0,3.041340779331872e-17,18,1.2661007773726913e-16,7.059497687551712,2.721837213385332e-16
4.4289865872058244e-16,0.0,0.0,-4.357021673055453e-18,-3.050853342164417e-16,-186.24237060546875,-177.23463439941406,0.0,0.0,0.0,0.0,0.4500000000000001,16.53132438659668,-7.202734373173764e-17,-9.698936362975263e-15,-4.5254043245171195e-17,0.0,3.439168277252726e-17,19,6.771174762905976e-17,7.472870283656652,3.099582512896381e-16
7.137296270792286e-16,0.0,0.0,-2.3547002920406265e-18,4.5349810847583523e-17,-165.7080535888672,-157.1234893798828,0.0,0.0,0.0,0.0,0.47500000000000014,16.524730258517796,-3.8910789243274545e-17,4.7128908950064535e-15,-4.761932784011717e-17,0.0,4.1818203106463246e-17,20,2.664085502803357e-18,7.886070966720584,3.2311387661693557e-16
