time_s,vx_mps,vy_mps,dpsi_radps,ax_mps2,ay_mps2,deltawheel_rad,TwheelRL_Nm,TwheelRR_Nm,pBrakeF_bar,pBrakeR_bar,beta_true_rad,yaw_acc_rps2,fyf_true_n,fyr_true_n
0.0,16.666666666666668,-0.0,0.0,0.0010081682241324223,1.2940107239157769e-17,0.0,0.0,0.0,0.0,0.0,-0.0,2.869163304912862e-17,1.1550636707740009e-14,9.80054023687031e-15
0.025,16.663378609551323,0.0001585722687498,0.0001143911887251,-0.07040616931337298,0.0249510196503251,0.0011536834648169,0.0,0.0,0.0,0.0,9.516213516201784e-06,0.0168270375579595,22.271852786232817,18.8973296368036
0.05,16.659569210476345,0.00177418308643,0.001354063710379,-0.09724536086573746,0.1388760885223746,0.0040787118650064,0.0,0.0,0.0,0.0,0.00010649633637070926,0.0928808152675628,123.96398393513603,105.18156212678205
0.075,16.65502972073025,0.0062202419050865,0.0051651151096813,-0.13155675945859968,0.3244121052324772,0.0078721996323954,0.0,0.0,0.0,0.0,0.0003734752810044082,0.2171992063522339,289.5776906542358,245.70228297935154
0.1,16.64959059821235,0.0134153043230374,0.0123099388693489,-0.16995751583214963,0.5321368508040906,0.0118805777446077,0.0,0.0,0.0,0.0,0.0008057437955548162,0.3532389402389526,474.99756600463496,403.0282378221145
0.125,16.64317448933919,0.0219579972326755,0.022596526536348,-0.20895799116654828,0.7191765069961549,0.0155567171481568,0.0,0.0,0.0,0.0,0.0013193394833864612,0.463534265756607,641.9534558350924,544.6877807085632
0.15,16.635783513387043,0.0300029478967189,0.035114174285669,-0.24623328469016334,0.875565965473652,0.0188567461651987,0.0,0.0,0.0,0.0,0.0018035187746086691,0.5311256051063538,781.5502757383664,663.1335672931592
0.175,16.62750032212999,0.0362660570277108,0.0488291917446573,-0.2787398875843395,1.0173514097929002,0.0219351325602214,0.0,0.0,0.0,0.0,0.0021810889385125033,0.5603101849555969,908.1112174298921,770.5186087283932
0.1999999999999999,16.61845525105794,0.0402919989493158,0.0629277834632118,-0.304953788988518,1.1626916959881783,0.0249629417810732,0.0,0.0,0.0,0.0,0.0024245333480529597,0.5643602609634399,1037.845292566497,880.5960058139973
0.2249999999999999,16.60879347059462,0.0422661503156026,0.0769268645031599,-0.3235517652107008,1.3215360879898073,0.0281299271763142,0.0,0.0,0.0,0.0,0.002544805580876996,0.5545116066932678,1179.6334424761476,1000.9011027070342
0.2499999999999999,16.59868558247884,0.0426453351974487,0.09059345820339,-0.3332386409875118,1.490761485695839,0.0314471304614952,0.0,0.0,0.0,0.0,0.002569199530019658,0.5384188890457153,1330.6879163301385,1129.0685350679962
0.2749999999999999,16.588289472791885,0.0417396798729896,0.103813056959407,-0.33559976288766574,1.6623417854309084,0.0348052070276251,0.0,0.0,0.0,0.0,0.0025162136181341075,0.5176337361335754,1483.84442978218,1259.019516178819
0.3,16.57777468363444,0.0397257548239496,0.1164119810562459,-0.32982780225349195,1.826151755452156,0.038120483682205,0.0,0.0,0.0,0.0,0.002396326140393669,0.4905024170875549,1630.064968596228,1383.0854278998295
0.325,16.56728744506836,0.036578079064687,0.1282808328297532,-0.31788648663145125,1.9761671632528304,0.0413248323953019,0.0,0.0,0.0,0.0,0.0022078496063986214,0.457397997379303,1763.9721645756824,1496.703654791488
0.35,16.556963390774197,0.0323161068889829,0.1392569680387307,-0.30071056481563685,2.110394388437271,0.044412197596328,0.0,0.0,0.0,0.0,0.0019518136343159367,0.4209095239639282,1883.7864664001545,1598.3642745213428
0.375,16.546912723117405,0.0269095392690764,0.1492909351106871,-0.2790911217891809,2.2320144325494766,0.047400185276802,0.0,0.0,0.0,0.0,0.001626257400359739,0.380351722240448,1992.34730905441,1690.4765046522264
0.4000000000000001,16.537207497490776,0.020436274094714,0.1583257590430513,-0.2549759558475379,2.336472138762474,0.0503036633657473,0.0,0.0,0.0,0.0,0.0012357753930229659,0.3420739471912384,2085.5886550101104,1769.590373947972
0.4250000000000001,16.52789857652452,0.012947568255994,0.1663752965958703,-0.22920107754794034,2.4306249946355822,0.0531357208838026,0.0,0.0,0.0,0.0,0.0007833765554675014,0.3016810417175293,2169.6316550476636,1840.8995861010474
0.4500000000000001,16.519009272257488,0.004515321407881,0.1734666620779924,-0.20301076715642755,2.5088173508644105,0.0558927584023071,0.0,0.0,0.0,0.0,0.0002733409330706148,0.2649280130863189,2239.427946796183,1900.1206821300943
0.4750000000000001,16.510535346137154,-0.0047664877234233,0.1796218931474381,-0.17746350837476327,2.5769027292728426,0.0585666699246929,0.0,0.0,0.0,0.0,-0.0002886937112271456,0.2282504141330719,2300.2025181787917,1951.6869851213985
