vx_mps,vy_mps,dpsi_radps,ax_mps2,ay_mps2,deltawheel_rad,TwheelRL_Nm,TwheelRR_Nm,pBrakeF_bar,pBrakeR_bar,time_s,beta_true_rad,yaw_acc_rps2,fyf_true_n,fyr_true_n
11.11111111111111,0.0,0.0,0.0005846334677757576,1.2696031531484001e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8335531957700002e-17,1.1332769129332852e-14,9.61568289761575e-15
11.108966403527775,-1.8501449958833335e-18,1.0861052738027805e-19,-0.06772036003345454,-1.4511050815016002e-16,0.0,0.0,0.0,0.0,0.0,0.025,-1.6654519679668844e-19,-2.3145231532e-17,-1.2952896997993792e-13,-1.0990336846782609e-13
11.106201807666666,-3.560489804861111e-18,2.009362260456076e-18,-0.1019979026100606,6.6317650615272015e-18,0.0,0.0,0.0,0.0,0.0,0.05,-3.205857291737025e-19,-1.84642848699e-15,5.9196656983632156e-15,5.022746653156667e-15
11.102529101888887,-3.147336295888889e-18,-2.5067260942353735e-18,-0.14691675359551518,-2.0823952927134e-16,0.0,0.0,0.0,0.0,0.0,0.075,-2.834792205456529e-19,-3.7318094781399996e-15,-1.8587938309548302e-13,-1.57715840202228e-13
11.097758611055555,-7.992231945750001e-18,-1.1934669710722179e-17,-0.19848601370145458,-1.3349042396242e-16,0.0,0.0,0.0,0.0,0.0,0.1,-7.201663169883838e-19,-1.92550960053e-15,-1.1915661614350442e-13,-1.0110258339448858e-13
11.091782252000002,-5.956282653611111e-18,-2.0294500990155845e-17,-0.25308442086909094,-1.0350434523772e-16,0.0,0.0,0.0,0.0,0.0,0.125,-5.369996018932946e-19,2.38549338364e-15,-9.239035406875171e-14,-7.839181557348629e-14
11.084575653083332,-4.156443795555555e-18,-1.8249501221660737e-17,-0.30731451785939395,-1.8672874144722e-16,0.0,0.0,0.0,0.0,0.0,0.15,-3.7497545468954252e-19,3.82410520562e-16,-1.6667836019346115e-13,-1.4142406319445184e-13
11.076180140166665,-3.9134907396666666e-18,-5.0131135536155295e-18,-0.3581494325575758,-1.1713258804058e-17,0.0,0.0,0.0,0.0,0.0,0.175,-3.533249450751331e-19,-1.44784056358e-16,-1.0455523637392758e-14,-8.871353389302944e-15
11.066704856027776,-3.2459130178888894e-18,2.5334521462764385e-18,-0.40307902018303027,-2.3626106570486002e-17,0.0,0.0,0.0,0.0,0.0,0.2,-2.933043810345151e-19,3.66093569034e-16,-2.108920496332726e-14,-1.789387087797464e-14
11.056305567416668,-5.5392793082222234e-18,9.411040747388413e-18,-0.4401555656666667,-1.7760219693958002e-17,0.0,0.0,0.0,0.0,0.0,0.225,-5.010063510316393e-19,1.88875244697e-16,-1.585317971042645e-14,-1.3451182784604257e-14
11.045176188138887,-1.0610735591944446e-17,1.2355393730027929e-17,-0.4680128062860606,-1.5020738828914002e-16,0.0,0.0,0.0,0.0,0.0,0.25,-9.606669383272513e-19,-8.61336422058e-17,-1.3407856216956843e-13,-1.1376362850751258e-13
11.033535003666666,6.6279825558888885e-06,4.731617535303791e-06,-0.48589211203818183,0.0007535756114517,-7.024607456612305e-07,0.0,0.0,0.0,0.0,0.275,6.007125145011347e-07,0.000520541740116,0.6726588859597552,0.5707408729355498
11.021619372888887,6.475536388777778e-05,4.641591182179086e-05,-0.4934428359521212,0.0022056689398562,-1.4130358237209235e-05,0.0,0.0,0.0,0.0,0.3,5.8753039546134035e-06,0.00151264609303,1.9688307176257391,1.6705230331369905
11.009640163833334,8.995643131333333e-05,7.633642263897191e-05,-0.4913309733072727,0.0011889589004538,-2.1184484203114177e-05,0.0,0.0,0.0,0.0,0.325,8.170696768895336e-06,0.000857621605974,1.0612920021263839,0.9004901836223862
10.99781672161111,8.534489703972222e-05,8.91483909757041e-05,-0.48026253440121214,0.0003442296532742,-2.741937603172488e-05,0.0,0.0,0.0,0.0,0.35,7.760167240468409e-06,0.000171652354766,0.307267288865249,0.260711639037181
10.986336602111113,6.268538628416665e-05,8.605393725386379e-05,-0.46139890728606064,-0.0001421464405212,-3.144051521436539e-05,0.0,0.0,0.0,0.0,0.375,5.705758757848468e-06,-0.000393781840103,-0.12688317518654657,-0.10765845167343344
10.97535981072222,3.4594935035277776e-05,7.11493296234708e-05,-0.43613565155939393,-0.0003157068298602,-3.424125561555629e-05,0.0,0.0,0.0,0.0,0.4,3.1520547509960225e-06,-0.000766497396398,-0.2818071620637359,-0.23910910720559406
10.965012444388888,9.986999632222222e-06,4.958727846160612e-05,-0.4060046294242424,-0.0002934642649052,-3.505684870805145e-05,0.0,0.0,0.0,0.0,0.425,9.108060463107688e-07,-0.000925020780414,-0.26195293809980563,-0.22226309899377442
10.955388810888888,-6.625821495416666e-06,2.653436342153036e-05,-0.37257236365151514,-0.0001985675055035,-3.531523253886444e-05,0.0,0.0,0.0,0.0,0.45,-6.048002138300253e-07,-0.000897444959264,-0.17724591269943568,-0.15039047138133932
